Company,Market,Region,Sector,Credit rating impact,COUNTRY_RISK_MARKET_RETURN,COUNTRY_RISK_PREMIUM,COUNTRY_RISK_RFR,EPS_GROWTH,GROSS_MARGIN,IS_INT_EXPENSE,OPER_MARGIN,RISK_PREMIUM,UNLEVERED_BETA,WACC,WACC_COST_DEBT,WACC_COST_EQUITY,Total E,Total S,Total G,EAQ,EFM,EWT,EHZ,EIM,SCR,SCW,SLB,SEW,SIM,GEX,GGV,GST,GTR
"Roberts, Hernandez and Aguilar",Developed Markets,DM - Americas,Utilities,1,,,,,,,,,,,,,14,14,13,3,3,2,3,3,3,3,3,2,3,4,3,3,3
"Hughes, Jackson and Patterson",Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8094,0.0,0.0,0.0,0.0,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Grant PLC,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Miller-Schultz,Developed Markets,DM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0718,0.0,0.0,0.0,0.0,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Donovan-Kemp,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3274,0.0,0.0,0.0,0.0,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Wilkins, Flynn and Barber",Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,0.0,0.0,0.0,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Alexander and Sons,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8858,0.0,3.0611,1.5929,7.8508,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Hurst-Jackson,Emerging Markets,EM - CEEMEA,"Food, Beverage & Tobacco",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8775,0.0,6.9755,0.9082,10.018,14,12,12,3,2,3,3,3,2,3,3,1,3,3,3,3,3
"Campbell, Morrow and Jackson",Emerging Markets,EM - CEEMEA,"Food, Beverage & Tobacco",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8825,0.0,4.8785,1.2385,10.018,10,13,12,1,2,2,3,2,2,3,3,1,4,3,3,3,3
Freeman-Molina,Emerging Markets,EM - CEEMEA,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,8.2777,4.4646,10.018,5,11,12,1,1,1,1,1,1,3,3,1,3,3,3,3,3
