Company,Market,Region,Sector,Credit rating impact,COUNTRY_RISK_MARKET_RETURN,COUNTRY_RISK_PREMIUM,COUNTRY_RISK_RFR,EPS_GROWTH,GROSS_MARGIN,IS_INT_EXPENSE,OPER_MARGIN,RISK_PREMIUM,UNLEVERED_BETA,WACC,WACC_COST_DEBT,WACC_COST_EQUITY,Total E,Total S,Total G,EAQ,EFM,EWT,EHZ,EIM,SCR,SCW,SLB,SEW,SIM,GEX,GGV,GST,GTR,IS_INT_EXPENSE_log,GROSS_MARGIN_log
"Roberts, Hernandez and Aguilar",Developed Markets,DM - Americas,Utilities,1,0.0,6.4843,0.0,0.0,0.0,23.687,0.0,8.771871254530812,0.0,7.045426157873541,1.4091,10.703224164317358,14,14,13,3,3,2,3,3,3,3,3,2,3,4,3,3,3,2.7032312762841455,1.524660858987853
"Hughes, Jackson and Patterson",Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8094,0.0,0.0,0.0,0.0,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Grant PLC,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Miller-Schultz,Developed Markets,DM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0718,0.0,0.0,0.0,0.0,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0.0,0.0
Donovan-Kemp,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3274,0.0,0.0,0.0,0.0,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
"Wilkins, Flynn and Barber",Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,0.0,0.0,0.0,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
Alexander and Sons,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8858,0.0,3.0611,1.5929,7.8508,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Hurst-Jackson,Emerging Markets,EM - CEEMEA,"Food, Beverage & Tobacco",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8775,0.0,6.9755,0.9082,10.018,14,12,12,3,2,3,3,3,2,3,3,1,3,3,3,3,3,0.0,0.0
"Campbell, Morrow and Jackson",Emerging Markets,EM - CEEMEA,"Food, Beverage & Tobacco",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8825,0.0,4.8785,1.2385,10.018,10,13,12,1,2,2,3,2,2,3,3,1,4,3,3,3,3,0.0,0.0
Freeman-Molina,Emerging Markets,EM - CEEMEA,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,8.2777,4.4646,10.018,5,11,12,1,1,1,1,1,1,3,3,1,3,3,3,3,3,0.0,0.0
Gould-Munoz,Developed Markets,DM - Europe,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8982,0.0,13.1192,0.0,13.1192,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3,0.0,0.0
Floyd PLC,Emerging Markets,EM - Asia,"Retail, Consumer & Healthcare",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7253,0.0,5.1332,2.0725,11.4463,12,11,12,2,3,1,3,3,1,3,3,1,3,3,3,3,3,0.0,0.0
"Obrien, Schmidt and Clark",Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3274,0.0,8.2445,5.0797,13.6674,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
"Bell, Lawson and Conner",Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1016,0.0,5.1257,1.4605,7.2421,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Carrillo-Austin,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8094,0.0,0.0,0.0,0.0,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Young-Shepherd,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
