text,predicted_sentiment
ESG News Week In Review: 20 May – 26 May,1
Fils and Telr Partner to Drive Sustainability in Finance and Payments,1
"Deloitte Leads the Way in ESG & Sustainability Services, Verdantix Report Finds",1
The English Football Premier League Takes Big Step in Sustainability with New Commitment,2
Infor Introduces GenAI and ESG Reporting Features for Industry-Specific Productivity and Environmental Footprint Tracking,1
IBM Envizi Enhances ESG Planning and Forecasting with AI,1
Microsoft and G42 Announce $1 Billion Investment in Green Data Center Infrastructure in Kenya,1
UK and Singapore Enhance Cooperation in Sustainable Finance and FinTech,1
Private Equity Firm Energy Capital Partners to buy Atlantica Sustainable Infrastructure for $2.56 Billion,2
"Holcim Launches GO4ZERO Plant in Belgium, Aiming for 2 Million Tons of Net Zero Cement Annually by 2029",1
Schroders Greencoat Secures £170 Million Investment for UK Renewable Infrastructure Fund,2
"BlackRock Expands NZ Climate Infrastructure Team, Appoints Will Thomson as Managing Director",2
"PwC Survey: 63% of Companies Confident in CSRD Readiness, But Face Data and Resource Challenges",2
GRI Opens Public Consultation on Revised Standards for Employment Practices and Working Conditions,1
Wolters Kluwer Enhances CCH Tagetik with Carbon Emission Reporting for Comprehensive ESG Management,2
Financial Institutions Managing $142 Trillion Demand Enhanced Climate and Nature Data; CDP Launches New Disclosure Platform,0
Tim Mohin: ISSB Adoption In Full Swing,1
ERM and Workiva Form Partnership to Enhance Climate and Sustainability Reporting for Clients,1
"BSI Revamps Event Sustainability Guidance: Focus on Climate, Supply Chain, and Social Impact",1
Climate Action 100+ Releases Net Zero Standard for Oil & Gas Company Assessments,1
Tim Mohin: New Female Leaders Favor Climate Action,2
Mexico Elects Claudia Sheinbaum as First Woman President,1
"EA SPORTS FC FUTURES Partners with UNICEF, Highlights Year One Impact in Global Game Growth",2
S&P Global Executives Honored on 2024 Empower Role Model Lists for Promoting Workplace Inclusion,2
Brookfield Launches $5 Billion Catalytic Transition Fund with $1 Billion from ALTÉRRA for Emerging Markets,1
"PwC Survey: 63% of Companies Confident in CSRD Readiness, But Face Data and Resource Challenges",2
Sustainalytics Insight: Only 30% of Companies Worldwide Achieve Strong Board Independence,2
H&M Group and Other Major Fashion Brands Unite to Launch Collective Financing Model for Sector Decarbonization,1
"ENGIE Preorders 5,000,000 Nature-based Carbon Removal Credits from Catona Climate",2
"Microsoft Purchases 970,000 Forest Carbon Removal Credits from Anew Climate",2
Occidental Low Carbon Ventures and TAE Technologies Partner to Explore Fusion Energy for Direct Air Capture,1
The Three Superpowers of the Chief Sustainability Officer – KPMG,1
"Freddie Mac’s 2023 Green MBS Issuances Near $1.9 Billion, Highlighting Sustainability Efforts",1
GRI Opens Public Consultation on Revised Standards for Employment Practices and Working Conditions,1
"BBVA Colombia and IFC Launch First Biodiversity Bond, Raising $50 Million for Environmental Projects",1
EY Luxembourg Appoints Raphael Betti as Climate Change and Sustainability Services Leader,1
Google Open-Sources Plastic-Free Packaging Design Guide,1
"Mirova, Rainforest Alliance Forge Partnership for Regenerative Agriculture and Sustainable Land Management",1
Japan’s Nippon Life Launches Nippon Life Transition Finance Framework,1
Vietnam Electricity (EVN) Eyes Greener Power Sources But Has to Rely on Coal to Avoid Blackouts,0
Texas Opens Proposals for Offshore Carbon Sequestration Leases,1
Rockefeller Foundation Establishes Climate Advisory Council to Propel Community-Centric Climate Solutions,2
BNDES Secures BRL 9.1 Billion from Asian Banks for Sustainable Investments in Brazil,2
Integrity Council Issues First High-Integrity CCP-Labeled Carbon Credits for Climate Action Financing,2
ESG News Week In Review: 20 May – 26 May,1
Fils and Telr Partner to Drive Sustainability in Finance and Payments,1
"Deloitte Leads the Way in ESG & Sustainability Services, Verdantix Report Finds",1
The English Football Premier League Takes Big Step in Sustainability with New Commitment,2
Infor Introduces GenAI and ESG Reporting Features for Industry-Specific Productivity and Environmental Footprint Tracking,1
IBM Envizi Enhances ESG Planning and Forecasting with AI,1
Microsoft and G42 Announce $1 Billion Investment in Green Data Center Infrastructure in Kenya,1
UK and Singapore Enhance Cooperation in Sustainable Finance and FinTech,1
Private Equity Firm Energy Capital Partners to buy Atlantica Sustainable Infrastructure for $2.56 Billion,2
"Holcim Launches GO4ZERO Plant in Belgium, Aiming for 2 Million Tons of Net Zero Cement Annually by 2029",1
Schroders Greencoat Secures £170 Million Investment for UK Renewable Infrastructure Fund,2
"BlackRock Expands NZ Climate Infrastructure Team, Appoints Will Thomson as Managing Director",2
"PwC Survey: 63% of Companies Confident in CSRD Readiness, But Face Data and Resource Challenges",2
GRI Opens Public Consultation on Revised Standards for Employment Practices and Working Conditions,1
Wolters Kluwer Enhances CCH Tagetik with Carbon Emission Reporting for Comprehensive ESG Management,2
